what,kind,bundleId,bundleVersion,description,time
error,log,,,"Core exception while retrieving the content description",1415251912461
error,log,,,"Core exception while retrieving the content description",1415251912465
error,log,,,"Core exception while retrieving the content description",1415251912538
error,log,,,"Core exception while retrieving the content description",1415251912542
error,log,,,"Core exception while retrieving the content description",1415251912547
error,log,,,"Core exception while retrieving the content description",1415251912551
error,log,,,"Core exception while retrieving the content description",1415251912556
error,log,,,"Core exception while retrieving the content description",1415251912561
error,log,,,"Core exception while retrieving the content description",1415251912566
error,log,,,"Core exception while retrieving the content description",1415251912572
error,log,,,"Core exception while retrieving the content description",1415251912598
error,log,,,"Core exception while retrieving the content description",1415251912604
error,log,,,"Core exception while retrieving the content description",1415251914249
error,log,,,"Core exception while retrieving the content description",1415251914253
error,log,,,"Core exception while retrieving the content description",1415251914260
error,log,,,"Core exception while retrieving the content description",1415251914264
error,log,,,"Core exception while retrieving the content description",1415251914268
error,log,,,"Core exception while retrieving the content description",1415251914274
error,log,,,"Core exception while retrieving the content description",1415251914278
error,log,,,"Core exception while retrieving the content description",1415251914286
error,log,,,"Core exception while retrieving the content description",1415251914290
error,log,,,"Core exception while retrieving the content description",1415251914293
error,log,,,"Core exception while retrieving the content description",1415251914375
error,log,,,"Core exception while retrieving the content description",1415251914380
error,log,,,"Core exception while retrieving the content description",1415251914384
error,log,,,"Core exception while retrieving the content description",1415251914390
error,log,,,"Core exception while retrieving the content description",1415251914394
error,log,,,"Core exception while retrieving the content description",1415251914398
error,log,,,"Core exception while retrieving the content description",1415251914402
error,log,,,"Core exception while retrieving the content description",1415251914407
error,log,,,"Core exception while retrieving the content description",1415251914411
error,log,,,"Core exception while retrieving the content description",1415251914415
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415251926758
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1415251928234
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415251928282
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1415251928320
error,log,,,"Core exception while retrieving the content description",1415251928560
error,log,,,"Core exception while retrieving the content description",1415251928569
error,log,,,"Core exception while retrieving the content description",1415251928576
error,log,,,"Core exception while retrieving the content description",1415251928580
error,log,,,"Core exception while retrieving the content description",1415251928584
error,log,,,"Core exception while retrieving the content description",1415251928591
error,log,,,"Core exception while retrieving the content description",1415251928595
error,log,,,"Core exception while retrieving the content description",1415251928606
error,log,,,"Core exception while retrieving the content description",1415251928610
error,log,,,"Core exception while retrieving the content description",1415251928614
error,log,,,"Core exception while retrieving the content description",1415251928683
error,log,,,"Core exception while retrieving the content description",1415251928687
error,log,,,"Core exception while retrieving the content description",1415251928691
error,log,,,"Core exception while retrieving the content description",1415251928695
error,log,,,"Core exception while retrieving the content description",1415251928699
error,log,,,"Core exception while retrieving the content description",1415251928704
error,log,,,"Core exception while retrieving the content description",1415251928708
error,log,,,"Core exception while retrieving the content description",1415251928713
error,log,,,"Core exception while retrieving the content description",1415251928717
error,log,,,"Core exception while retrieving the content description",1415251928721
