what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415254205732
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.run",1415254205744
error,log,,,"Core exception while retrieving the content description",1415254206245
error,log,,,"Core exception while retrieving the content description",1415254206250
error,log,,,"Core exception while retrieving the content description",1415254206268
error,log,,,"Core exception while retrieving the content description",1415254206272
error,log,,,"Core exception while retrieving the content description",1415254206275
error,log,,,"Core exception while retrieving the content description",1415254206282
error,log,,,"Core exception while retrieving the content description",1415254206286
error,log,,,"Core exception while retrieving the content description",1415254206293
error,log,,,"Core exception while retrieving the content description",1415254206296
error,log,,,"Core exception while retrieving the content description",1415254206300
error,log,,,"Core exception while retrieving the content description",1415254206328
error,log,,,"Core exception while retrieving the content description",1415254206332
error,log,,,"Core exception while retrieving the content description",1415254206337
error,log,,,"Core exception while retrieving the content description",1415254206341
error,log,,,"Core exception while retrieving the content description",1415254206345
error,log,,,"Core exception while retrieving the content description",1415254206401
error,log,,,"Core exception while retrieving the content description",1415254206406
error,log,,,"Core exception while retrieving the content description",1415254206411
error,log,,,"Core exception while retrieving the content description",1415254206415
error,log,,,"Core exception while retrieving the content description",1415254206419
error,log,,,"Core exception while retrieving the content description",1415254206459
error,log,,,"Core exception while retrieving the content description",1415254206463
error,log,,,"Core exception while retrieving the content description",1415254206466
error,log,,,"Core exception while retrieving the content description",1415254206470
error,log,,,"Core exception while retrieving the content description",1415254206476
error,log,,,"Core exception while retrieving the content description",1415254206480
error,log,,,"Core exception while retrieving the content description",1415254206483
error,log,,,"Core exception while retrieving the content description",1415254206488
error,log,,,"Core exception while retrieving the content description",1415254206491
error,log,,,"Core exception while retrieving the content description",1415254206495
error,log,,,"Core exception while retrieving the content description",1415254209569
error,log,,,"Core exception while retrieving the content description",1415254209572
error,log,,,"Core exception while retrieving the content description",1415254209578
error,log,,,"Core exception while retrieving the content description",1415254209582
error,log,,,"Core exception while retrieving the content description",1415254209585
error,log,,,"Core exception while retrieving the content description",1415254209592
error,log,,,"Core exception while retrieving the content description",1415254209596
error,log,,,"Core exception while retrieving the content description",1415254209602
error,log,,,"Core exception while retrieving the content description",1415254209606
error,log,,,"Core exception while retrieving the content description",1415254209609
error,log,,,"Core exception while retrieving the content description",1415254209686
error,log,,,"Core exception while retrieving the content description",1415254209691
error,log,,,"Core exception while retrieving the content description",1415254209695
error,log,,,"Core exception while retrieving the content description",1415254209699
error,log,,,"Core exception while retrieving the content description",1415254209703
error,log,,,"Core exception while retrieving the content description",1415254209729
error,log,,,"Core exception while retrieving the content description",1415254209734
error,log,,,"Core exception while retrieving the content description",1415254209738
error,log,,,"Core exception while retrieving the content description",1415254209742
error,log,,,"Core exception while retrieving the content description",1415254209746
error,log,,,"Core exception while retrieving the content description",1415254209767
error,log,,,"Core exception while retrieving the content description",1415254209772
error,log,,,"Core exception while retrieving the content description",1415254209776
error,log,,,"Core exception while retrieving the content description",1415254209780
error,log,,,"Core exception while retrieving the content description",1415254209786
error,log,,,"Core exception while retrieving the content description",1415254209792
error,log,,,"Core exception while retrieving the content description",1415254209796
error,log,,,"Core exception while retrieving the content description",1415254209802
error,log,,,"Core exception while retrieving the content description",1415254209806
error,log,,,"Core exception while retrieving the content description",1415254209810
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1415254222144
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1415254222218
error,log,,,"Core exception while retrieving the content description",1415254222581
error,log,,,"Core exception while retrieving the content description",1415254222599
error,log,,,"Core exception while retrieving the content description",1415254222607
error,log,,,"Core exception while retrieving the content description",1415254222614
error,log,,,"Core exception while retrieving the content description",1415254222618
error,log,,,"Core exception while retrieving the content description",1415254222627
error,log,,,"Core exception while retrieving the content description",1415254222632
error,log,,,"Core exception while retrieving the content description",1415254222640
error,log,,,"Core exception while retrieving the content description",1415254222645
error,log,,,"Core exception while retrieving the content description",1415254222651
error,log,,,"Core exception while retrieving the content description",1415254222712
error,log,,,"Core exception while retrieving the content description",1415254222718
error,log,,,"Core exception while retrieving the content description",1415254222723
error,log,,,"Core exception while retrieving the content description",1415254222728
error,log,,,"Core exception while retrieving the content description",1415254222736
error,log,,,"Core exception while retrieving the content description",1415254222823
error,log,,,"Core exception while retrieving the content description",1415254222829
error,log,,,"Core exception while retrieving the content description",1415254222834
error,log,,,"Core exception while retrieving the content description",1415254222847
error,log,,,"Core exception while retrieving the content description",1415254222856
error,log,,,"Core exception while retrieving the content description",1415254222895
error,log,,,"Core exception while retrieving the content description",1415254222900
error,log,,,"Core exception while retrieving the content description",1415254222904
error,log,,,"Core exception while retrieving the content description",1415254222908
error,log,,,"Core exception while retrieving the content description",1415254222912
error,log,,,"Core exception while retrieving the content description",1415254222917
error,log,,,"Core exception while retrieving the content description",1415254222921
error,log,,,"Core exception while retrieving the content description",1415254222926
error,log,,,"Core exception while retrieving the content description",1415254222929
error,log,,,"Core exception while retrieving the content description",1415254222933
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1415254256222
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1415254263034
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1415254278122
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1415254283032
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1415254291492
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1415254293673
error,log,,,"Core exception while retrieving the content description",1415254295789
error,log,,,"Core exception while retrieving the content description",1415254295793
error,log,,,"Core exception while retrieving the content description",1415254295799
error,log,,,"Core exception while retrieving the content description",1415254295803
error,log,,,"Core exception while retrieving the content description",1415254295807
error,log,,,"Core exception while retrieving the content description",1415254295814
error,log,,,"Core exception while retrieving the content description",1415254295818
error,log,,,"Core exception while retrieving the content description",1415254295825
error,log,,,"Core exception while retrieving the content description",1415254295829
error,log,,,"Core exception while retrieving the content description",1415254295833
error,log,,,"Core exception while retrieving the content description",1415254295864
error,log,,,"Core exception while retrieving the content description",1415254295868
error,log,,,"Core exception while retrieving the content description",1415254295872
error,log,,,"Core exception while retrieving the content description",1415254295875
error,log,,,"Core exception while retrieving the content description",1415254295883
error,log,,,"Core exception while retrieving the content description",1415254295911
error,log,,,"Core exception while retrieving the content description",1415254295915
error,log,,,"Core exception while retrieving the content description",1415254295919
error,log,,,"Core exception while retrieving the content description",1415254295922
error,log,,,"Core exception while retrieving the content description",1415254295926
error,log,,,"Core exception while retrieving the content description",1415254295946
error,log,,,"Core exception while retrieving the content description",1415254295951
error,log,,,"Core exception while retrieving the content description",1415254295956
error,log,,,"Core exception while retrieving the content description",1415254295962
error,log,,,"Core exception while retrieving the content description",1415254295967
error,log,,,"Core exception while retrieving the content description",1415254295974
error,log,,,"Core exception while retrieving the content description",1415254295978
error,log,,,"Core exception while retrieving the content description",1415254295984
error,log,,,"Core exception while retrieving the content description",1415254295988
error,log,,,"Core exception while retrieving the content description",1415254295992
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1415254297630
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1415254299396
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1415254301498
error,log,,,"Core exception while retrieving the content description",1415254301580
error,log,,,"Core exception while retrieving the content description",1415254301584
error,log,,,"Core exception while retrieving the content description",1415254301592
error,log,,,"Core exception while retrieving the content description",1415254301596
error,log,,,"Core exception while retrieving the content description",1415254301600
error,log,,,"Core exception while retrieving the content description",1415254301607
error,log,,,"Core exception while retrieving the content description",1415254301612
error,log,,,"Core exception while retrieving the content description",1415254301619
error,log,,,"Core exception while retrieving the content description",1415254301624
error,log,,,"Core exception while retrieving the content description",1415254301628
error,log,,,"Core exception while retrieving the content description",1415254301657
error,log,,,"Core exception while retrieving the content description",1415254301661
error,log,,,"Core exception while retrieving the content description",1415254301666
error,log,,,"Core exception while retrieving the content description",1415254301670
error,log,,,"Core exception while retrieving the content description",1415254301674
error,log,,,"Core exception while retrieving the content description",1415254301698
error,log,,,"Core exception while retrieving the content description",1415254301702
error,log,,,"Core exception while retrieving the content description",1415254301707
error,log,,,"Core exception while retrieving the content description",1415254301711
error,log,,,"Core exception while retrieving the content description",1415254301716
error,log,,,"Core exception while retrieving the content description",1415254301732
error,log,,,"Core exception while retrieving the content description",1415254301737
error,log,,,"Core exception while retrieving the content description",1415254301741
error,log,,,"Core exception while retrieving the content description",1415254301745
error,log,,,"Core exception while retrieving the content description",1415254301750
error,log,,,"Core exception while retrieving the content description",1415254301755
error,log,,,"Core exception while retrieving the content description",1415254301774
error,log,,,"Core exception while retrieving the content description",1415254301779
error,log,,,"Core exception while retrieving the content description",1415254301783
error,log,,,"Core exception while retrieving the content description",1415254301787
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415254306682
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415254307555
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415254307648
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415254308436
